# derived from http://www.medo.jp/anatomy_la.htm
# 0.rb によつて CSV にした．

A lumbalis ima,最下腰動脈,lowest lumbar artery
A malleolaris anterior lateralis,前外果動脈,lateral anterior malleolar artery
A malleolaris anterior medialis,前内果動脈,medial anterior malleolar artery
A masseterica,咬筋動脈,masseteric artery
A maxillaris,顎動脈,maxillary artery
A mediana,正中動脈,median artery
A meningea anterior,前硬膜動脈,anterior meningeal artery
A meningea media,中硬膜動脈,middle meningeal artery
A meningea posterior,後硬膜動脈,posterior meningeal artery
A mentalis,オトガイ動脈,mental artery
A mesenterica inferior,下腸間膜動脈,inferior mesenteric artery
A mesenterica superior,上腸間膜動脈,superior mesenteric artery
Aa. metacarpales dorsales,背側中手動脈,dorsal metacarpal artery
Aa. metacarpales palmares,掌側中手動脈,palmar metacarpal arteries[pl]
Aa. metatarseae dorsales,背側中足動脈,dorsal metatarsal artery
Aa. metatarseae plantares,足底中足動脈,plantar metatarsal artery
A modioli communis,総蝸牛軸静脈,common modiolar artery
A musculophrenica,筋横隔動脈,musculophrenic artery
Aa. nasales posteriores laterales,外側後鼻枝,posterior lateral nasal artery
Aa. nutriciae femoris,大腿骨栄養動脈,femoral nutrient artery
A obturatoria,閉鎖動脈,obturator artery
A obturatoria accessoria,副閉鎖動脈,accessory obturator artery
A occipitalis,後頭動脈,occipital artery
A occipitalis lateralis,外側後頭動脈,lateral occipital artery
A ophthalmica,眼動脈,ophthalmic artery
A ovarica,卵巣動脈,ovarian artery
A palatina ascendens,上行口蓋動脈,ascending palatine artery
A palatina descendens,下行口蓋動脈,decending palatine artery
A palatina major,大口蓋動脈,greater palatine artery
Aa. palatinae minores,小口蓋動脈,lesser palatine artery
Aa. palpebrales laterales,外側眼瞼動脈,lateral palpebral artery
Aa. palpebrales mediales,内側眼瞼動脈,medial palpebral artery
A pancreatica dorsalis,後膵動脈,dorsal pancreatic artery
A parietalis posterior,後頭頂動脈,posterior parietal artery
A pericallosa,脳梁周囲動脈,pericallosal artery
A pericardiophrenica,心膜横隔動脈,pericardiophrenic artery
A perinealis,会陰動脈,perineal artery
Aa. perforantes penis,陰茎貫通動脈,perforating artery of penis
Aa. perforantes radiatae,放線貫通動脈,perforating radiate arteries[pl]
A peronea,腓骨動脈,A. fibular[L]
A pharyngea ascendens,上行咽頭動脈,ascending pharyngeal artery
A phrenica inferior,下横隔動脈,inferior phrenic artery
Aa. phrenicae superiores,上横隔動脈,superior phrenic artery
A plantaris lateralis,外側足底動脈,lateral plantar artery
A plantaris medialis,内側足底動脈,medial plantar artery
A plantaris profunda,深足底動脈,deep plantar artery
A polaris frontalis,前頭極動脈,polar frontal artery
A polaris temporalis,側頭極動脈,polar temporal artery
A poplitea,膝窩動脈,popliteal artery
A prefrontalis,前頭前動脈,prefrontal artery
A princeps pollicis,母指主動脈,principal artery of thumb†
A profunda brachii,上腕深動脈,deep femoral artery
A profunda clitoridis,陰核深動脈,deep artery of clitoris
A profunda femoris,大腿深動脈,deep femoral artery
A profunda linguae,舌深動脈,deep lingual artery
A profunda penis,陰茎深動脈,deep artery of penis
A pterygomeningea,翼突硬膜動脈,pterygomeningeal artery
Aa. pudendae externae,外陰部動脈,external pudendal artery
A pudenda interna,内陰部動脈,internal pudendal artery
A pulmonalis dextra,右肺動脈,right pulmonary artery
A pulmonalis sinistra,左肺動脈,left pulmonary artery 
A radialis,橈骨動脈,radial artery
A radialis indicis,示指橈側動脈,radial artery of index finger†
A radicularis anterior,前根動脈,anterior radicular artery
A radicularis posterior,後根動脈,posterior radicular artery
A rectalis inferior,下直腸動脈,inferior rectal artery
A rectalis media,中直腸動脈,middle rectal artery
A rectalis superior,上直腸動脈,superior rectal artery
A recurrens radialis,橈側反回動脈,recurrent radial artery
A recurrens tibialis anterior,前脛骨反回動脈,anterior tibial recurrent artery
A recurrens tibialis posterior,後脛骨反回動脈,posterior tibial recurrent artery
A recurrens ulnaris,尺側反回動脈,recurrent ulnar artery
A renalis,腎動脈,renal artery
Aa. renis,腎の動脈,renal arteries
Aa. retroduodenales,十二指腸後動脈,retroduodenal artery
Aa. sacrales laterales,外側仙骨動脈,lateral sacral artery
A sacralis mediana,正中仙骨動脈,median sacral artery
A scapularis descendens,下行肩甲動脈,descending scapular artery
A segamenti anterioris,前区動脈,anterior segmental artery
A segamenti posterioris,後区動脈,posterior segmental artery
Aa. sigmoideae,Ｓ結腸動脈,sigmoid artery
A sphenopalatina,蝶口蓋動脈,sphenopalatine artery
A spinalis anterior,前脊髄動脈,anterior spinal artery
A spinalis posterior,後脊髄動脈,posterior spinal artery 
A spiralis modioli,蝸牛軸ラセン動脈,spiral modiolar artery
A subclavia,鎖骨下動脈,subclavian artery
A subscapularis,肩甲下動脈,subscapular artery
A sulci centralis,中心溝動脈,artery of central sulcus
A suprachiasmatica,視交叉上動脈,suprachiasmatic artery
A suprarenalis media,中副腎動脈,middle suprarenal artery
Aa. suprarenales superiores,上副腎動脈、上腎上体動脈,superior suprarenal arteries[pl]
A suprascapularis,肩甲上動脈,suprascapular artery
A supratrochlearis,滑車上動脈,supratrochlear artery
Aa. surales,腓腹動脈,sural artery
A tarsea lateralis,外側足根動脈,lateral tarsal artery
A temporalis anterior,前側頭動脈,anterior temporal artery
A temporalis media,中側頭動脈,middle temporal artery
A temporalis profunda anterior,前深側頭動脈,anterior deep temporal artery
A temporalis profunda posterior,後深側頭動脈,posterior deep temporal artery
A temporalis superficialis,浅側頭動脈,temporal artery
A testicularis,精巣動脈,testicular artery
A thoracica interna,内胸動脈,internal thoracic artery
A thoracica lateralis,外側胸動脈,lateral thoracic artery
A thoracica suprema,最上胸動脈,supreme thoracic artery
A thoracodorsalis,胸背動脈,thoracodorsal artery
A thyroidea ima,最下甲状腺動脈,lowest thyroid artery
A thyroidea inferior,下甲状腺動脈,inferior thyroid artery
A thyroidea superior,上甲状腺動脈,superior thyroid artery
A tibialis anterior,前脛骨動脈,anterior tibial artery
A tibialis posterior,後脛骨動脈,posterior tibial artery
A transversa colli,頚横動脈,transverse cervical artery
A transversa faciei,顔面横動脈,transverse facial artery
A tympanica anterior,前鼓室動脈,anterior tympanic artery
A tympanica inferior,下鼓室動脈,inferior tympanic artery
A tympanica posterior,後鼓室動脈,posterior tympanic artery
A tympanica superior,上鼓室動脈,superior tympanic artery
A ulnaris,尺骨動脈,ulnar artery
A urethralis,尿道動脈,urethral artery
A vaginalis,膣動脈,vaginal artery
A vertebralis,椎骨動脈,vertebral artery
A vestibularis anterior/*A vestibularis,前前庭動脈|前庭動脈,anterior vestibular artery
A vestibulocochlearis,前庭蝸牛動脈,vestibulocochlear artery
Aa vesicales superiores,上膀胱動脈,superior vesical arteries[pl]
A zygomaticoorbitalis,頬骨眼窩動脈,zygomaticoorbital artery
abdomen,腹|腹部,abdomen
abductor,外転筋,pl abductores
acetabulum,寛骨臼,acetabulum
Achilis,アキレス腱,--
acromion,肩峰,--
adhesio interthalamica,視床間質,interthalamic adhesion
aditus,口、入口,inlet
aditus ad antrum,乳突洞口,aditus to mastoid antrum
aditus laryngis,喉頭口,laryngeal inlet
aditus orbitalis,眼窩口,orbital opening
adminiculum linea alba,白線補束,posterior attachment of linea alba
ala,翼,wing
ala cristae galli,鶏冠翼,ala of cristae galli
ala lobuli centralis,中心小葉翼,--
ala major,大翼,greater wing
ala minor,小翼,lesser wing
ala nasi,鼻翼,ala of nose//nasal wing†
ala ossis ilii,腸骨翼,ala of ilium
ala ossis sacri,仙骨翼,wing of sacrum
ala vomeris,鋤骨翼,ala of vomer
alveolus,胞∥槽,pl alveoli
alveolus dentalis,歯槽,dental socket†
alveoli pulmonis,肺胞,pulmonary alveolus†
amphiarthrosis,半関節,amphiarthrosis
ampulla,膨大部,ampulla
ampulla canaliculi lacrimalis,涙小管膨大部,ampulla of lacrimal canaliculus
ampulla ductus deferentis,精管膨大部,ampulla of ductus deferens
ampulla hepatopancreatica,胆膵管膨大部,hepatopancreatic ampulla
ampullae membranaceae,膨大部,membranous ampulla [pl membranous ampullae]
ampulla membranacea anterior,前膜膨大部,anterior membranous ampulla
ampulla membranacea lateralis,外側膜膨大部,lateral membranous ampulla
ampulla membranacea posterior,後膜膨大部,posterior membranous ampulla
ampullae osseae,骨膨大部,bony ampulla
ampulla ossea anterior,前骨膨大部,--
ampulla ossea lateralis,外側骨膨大部,--
ampulla ossea posterior,後骨膨大部,--
ampulla recti,直腸膨大部,rectal ampulla
ampulla tubae uterinae,卵管膨大部,ampulla of uterine tube
anastomosis,吻合∥交通,anastomosis
anastomosis arterivenosa,動静脈吻合,arteriovenous anastomosis
angulus,角,angle
angulus acromialis,肩峰角,acromial angle
angulus costae,肋骨角,costal angle†
angulus frontalis,前頭角,frontal angle
angulus inferior,下角,inferior angle
angulus infrasternalis,胸骨下角,subcostal angle
angulus iridocornealis,虹彩角膜角,iridocorneal
angulus mandibulae,下顎角,mandibular angle
angulus mastoideus,乳突角,mastoid angle
angulus occipitalis,後頭角,occipital angle
angulus oculi lateralis,外眼角,outer canthus†
